Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11
;21.- VISADOS DE DIRECCIÓN DE OBRA NUEVA;;;;;;;;;;
;;;;;;;;;;;
;N.º de viviendas y superficie media según destino principal;;;;;;;;;;
;;;;;;;;;;;
;Granada;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;May;19.0;42.0;0.0;181.842105;103.5;;;54.0;115.0
;;Abr;24.0;4.0;0.0;186.208333;94.25;;;58.0;86.0
;;Mar;16.0;20.0;0.0;218.625;73.8;;;26.0;62.0
;;Feb;23.0;15.0;0.0;150.565217;136.933333;;;29.0;67.0
;;Ene;45.0;18.0;0.0;167.133333;86.833333;;;29.0;92.0
2012;;Dic;18.0;19.0;0.0;167.888888;100.526315;;;24.0;61.0
;;Nov;23.0;58.0;0.0;195.347826;102.534482;;;48.0;129.0
;;Oct;46.0;29.0;0.0;146.173913;120.034482;;;52.0;127.0
;;Sep;25.0;3.0;0.0;171.12;150.333333;;;30.0;58.0
;;Ago;12.0;121.0;0.0;172.833333;102.669421;;;18.0;151.0
;;Jul;29.0;39.0;0.0;197.413793;114.615384;;;58.0;126.0
;;Jun;34.0;6.0;0.0;186.647058;66.0;;;43.0;83.0
;;May;44.0;44.0;0.0;218.090909;79.818181;;;63.0;151.0
;;Abr;56.0;4.0;0.0;204.714285;125.25;;;42.0;102.0
;;Mar;33.0;130.0;0.0;183.787878;85.623076;;;47.0;210.0
;;Feb;46.0;7.0;0.0;163.5;132.714285;;;47.0;100.0
;;Ene;34.0;230.0;0.0;180.235294;58.704347;;;43.0;307.0
2011;;Dic;33.0;51.0;0.0;163.727272;131.058823;;;40.0;124.0
;;Nov;50.0;69.0;0.0;167.36;91.869565;;;64.0;183.0
;;Oct;62.0;23.0;0.0;159.354838;91.434782;;;54.0;139.0
;;Sep;38.0;9.0;0.0;157.763157;73.888888;;;58.0;105.0
;;Ago;13.0;8.0;0.0;147.923076;67.75;;;20.0;41.0
;;Jul;89.0;65.0;0.0;167.35955;77.230769;;;86.0;240.0
;;Jun;57.0;175.0;1.0;170.842105;84.885714;;;71.0;304.0
;;May;36.0;219.0;0.0;177.638888;85.968036;;;65.0;320.0
;;Abr;80.0;219.0;0.0;159.9625;115.438356;;;61.0;360.0
;;Mar;87.0;36.0;0.0;214.75862;106.75;;;68.0;191.0
;;Feb;29.0;115.0;0.0;183.75862;68.269565;;;55.0;199.0
;;Ene;49.0;166.0;0.0;163.285714;99.674698;;;56.0;271.0
2010;;Dic;49.0;32.0;0.0;193.55102;98.625;;;50.0;131.0
;;Nov;55.0;34.0;0.0;176.50909;81.117647;;;56.0;145.0
;;Oct;54.0;36.0;0.0;149.388888;99.388888;;;107.0;197.0
;;Sep;67.0;123.0;0.0;163.432835;130.487804;;;88.0;278.0
;;Ago;4.0;0.0;0.0;213.5;0.0;;;12.0;16.0
;;Jul;78.0;58.0;0.0;167.333333;93.189655;;;108.0;244.0
;;Jun;91.0;217.0;0.0;146.197802;88.847926;;;90.0;398.0
;;May;42.0;167.0;0.0;145.119047;105.880239;;;73.0;282.0
;;Abr;62.0;295.0;0.0;159.612903;79.755932;;;75.0;432.0
